5073,ENSG00000261872,"novel transcript, antisense to CDC27",,,LncRNA
5074,ENSG00000259207,"integrin subunit beta 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6156"" class=""constant"">HGNC:6156</a>]",ITGB3,P05106,Protein coding
5075,ENSG00000178852,"EF-hand calcium binding domain 13 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26864"" class=""constant"">HGNC:26864</a>]",EFCAB13,Q8IY85,Protein coding
5076,ENSG00000253347,novel transcript,,,LncRNA
5077,ENSG00000228782,mitochondrial ribosomal protein L45 (MRPL45) pseudogene,,,Transcribed unprocessed pseudogene
5078,ENSG00000141279,"aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7900"" class=""constant"">HGNC:7900</a>]",NPEPPS,P55786,Protein coding
5079,ENSG00000263766,"KPNB1 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55336"" class=""constant"">HGNC:55336</a>]",KPNB1-DT,,LncRNA
5080,ENSG00000108424,"karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6400"" class=""constant"">HGNC:6400</a>]",KPNB1,Q14974,Protein coding
5081,ENSG00000198933,"TBK1 binding protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30140"" class=""constant"">HGNC:30140</a>]",TBKBP1,A7MCY6,Protein coding
5082,ENSG00000006025,"oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16387"" class=""constant"">HGNC:16387</a>]",OSBPL7,Q9BZF2,Protein coding
5083,ENSG00000159111,"mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14055"" class=""constant"">HGNC:14055</a>]",MRPL10,Q7Z7H8,Protein coding
5084,ENSG00000141294,"leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25047"" class=""constant"">HGNC:25047</a>]",LRRC46,Q96FV0,Protein coding
5085,ENSG00000141295,"secernin 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30381"" class=""constant"">HGNC:30381</a>]",SCRN2,Q96FV2,Protein coding
5086,ENSG00000264920,"SP2 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55330"" class=""constant"">HGNC:55330</a>]",SP2-DT,,LncRNA
5087,ENSG00000167182,"Sp2 transcription factor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11207"" class=""constant"">HGNC:11207</a>]",SP2,Q02086,Protein coding
5088,ENSG00000234494,"SP2 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:51341"" class=""constant"">HGNC:51341</a>]",SP2-AS1,,LncRNA
5089,ENSG00000108439,"pyridoxamine 5&#39;-phosphate oxidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30260"" class=""constant"">HGNC:30260</a>]",PNPO,Q9NVS9,Protein coding
5090,ENSG00000167183,"proline rich 15 like [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28149"" class=""constant"">HGNC:28149</a>]",PRR15L,Q9BU68,Protein coding
5091,ENSG00000108465,"CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18673"" class=""constant"">HGNC:18673</a>]",CDK5RAP3,Q96JB5,Protein coding
5092,ENSG00000005243,"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19356"" class=""constant"">HGNC:19356</a>]",COPZ2,Q9P299,Protein coding
5093,ENSG00000263412,"NFE2L1 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54812"" class=""constant"">HGNC:54812</a>]",NFE2L1-DT,,LncRNA
5094,ENSG00000082641,"NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7781"" class=""constant"">HGNC:7781</a>]",NFE2L1,Q14494,Protein coding
5095,ENSG00000108468,"chromobox 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1551"" class=""constant"">HGNC:1551</a>]",CBX1,P83916,Protein coding
5096,ENSG00000002919,"sorting nexin 11 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14975"" class=""constant"">HGNC:14975</a>]",SNX11,Q9Y5W9,Protein coding
5097,ENSG00000170703,"tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26664"" class=""constant"">HGNC:26664</a>]",TTLL6,Q8N841,Protein coding
5098,ENSG00000136436,"calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29912"" class=""constant"">HGNC:29912</a>]",CALCOCO2,Q13137,Protein coding
5099,ENSG00000159199,"ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:841"" class=""constant"">HGNC:841</a>]",ATP5MC1,P05496,Protein coding
5100,ENSG00000159202,"ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25847"" class=""constant"">HGNC:25847</a>]",UBE2Z,Q9H832,Protein coding
5101,ENSG00000159210,"SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17028"" class=""constant"">HGNC:17028</a>]",SNF8,Q96H20,Protein coding
5102,ENSG00000108798,"ABI family member 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29859"" class=""constant"">HGNC:29859</a>]",ABI3,Q9P2A4,Protein coding
5103,ENSG00000173868,"phosphoethanolamine/phosphocholine phosphatase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16815"" class=""constant"">HGNC:16815</a>]",PHOSPHO1,Q8TCT1,Protein coding
5104,ENSG00000198740,"zinc finger protein 652 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29147"" class=""constant"">HGNC:29147</a>]",ZNF652,Q9Y2D9,Protein coding
5105,ENSG00000248714,"ZNF652 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55582"" class=""constant"">HGNC:55582</a>]",ZNF652-AS1,,LncRNA
5106,ENSG00000262039,"novel transcript, antisense to PHB",,,LncRNA
5107,ENSG00000167085,"prohibitin 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8912"" class=""constant"">HGNC:8912</a>]",PHB1,P35232,Protein coding
5108,ENSG00000064300,"nerve growth factor receptor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7809"" class=""constant"">HGNC:7809</a>]",NGFR,P08138,Protein coding
5109,ENSG00000182575,"neurexophilin 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8077"" class=""constant"">HGNC:8077</a>]",NXPH3,O95157,Protein coding
5110,ENSG00000121067,"speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11254"" class=""constant"">HGNC:11254</a>]",SPOP,O43791,Protein coding
5111,ENSG00000121073,"solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20798"" class=""constant"">HGNC:20798</a>]",SLC35B1,P78383,Protein coding
5112,ENSG00000121104,"family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24179"" class=""constant"">HGNC:24179</a>]",FAM117A,Q9C073,Protein coding
5113,ENSG00000136504,"lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17016"" class=""constant"">HGNC:17016</a>]",KAT7,O95251,Protein coding
5114,ENSG00000262837,novel transcript,,,LncRNA
5115,ENSG00000176358,"tachykinin precursor 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16641"" class=""constant"">HGNC:16641</a>]",TAC4,Q86UU9,Protein coding
5116,ENSG00000204584,"novel transcript, antisense to TAC4",,,LncRNA
5117,ENSG00000248954,novel transcript,,,LncRNA
5118,ENSG00000246640,"p53 inducible cancer associated RNA transcript 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27576"" class=""constant"">HGNC:27576</a>]",PICART1,,LncRNA
5119,ENSG00000005884,"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6139"" class=""constant"">HGNC:6139</a>]",ITGA3,P26006,Protein coding
5120,ENSG00000005882,"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8810"" class=""constant"">HGNC:8810</a>]",PDK2,Q15119,Protein coding
5121,ENSG00000167100,"sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27312"" class=""constant"">HGNC:27312</a>]",SAMD14,Q8IZD0,Protein coding
5122,ENSG00000108819,"protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9298"" class=""constant"">HGNC:9298</a>]",PPP1R9B,Q96SB3,Protein coding
5123,ENSG00000108823,"sarcoglycan alpha [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10805"" class=""constant"">HGNC:10805</a>]",SGCA,Q16586,Protein coding
5124,ENSG00000188662,"H1.9 linker histone, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30616"" class=""constant"">HGNC:30616</a>]",H1-9P,,Transcribed unitary pseudogene
5125,ENSG00000108821,"collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2197"" class=""constant"">HGNC:2197</a>]",COL1A1,P02452,Protein coding
5126,ENSG00000015532,"xylosyltransferase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15517"" class=""constant"">HGNC:15517</a>]",XYLT2,Q9H1B5,Protein coding
5127,ENSG00000108826,"mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14483"" class=""constant"">HGNC:14483</a>]",MRPL27,Q9P0M9,Protein coding
5128,ENSG00000154920,"essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24965"" class=""constant"">HGNC:24965</a>]",EME1,Q96AY2,Protein coding
5129,ENSG00000108829,"leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28817"" class=""constant"">HGNC:28817</a>]",LRRC59,Q96AG4,Protein coding
5130,ENSG00000167107,"acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26101"" class=""constant"">HGNC:26101</a>]",ACSF2,Q96CM8,Protein coding
5131,ENSG00000136457,"chondroadherin [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1909"" class=""constant"">HGNC:1909</a>]",CHAD,O15335,Protein coding
5132,ENSG00000136444,"radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25634"" class=""constant"">HGNC:25634</a>]",RSAD1,Q9HA92,Protein coding
5133,ENSG00000136449,"MYCBP associated protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19677"" class=""constant"">HGNC:19677</a>]",MYCBPAP,Q8TBZ2,Protein coding
5134,ENSG00000049283,"epsin 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18235"" class=""constant"">HGNC:18235</a>]",EPN3,Q9H201,Protein coding
5135,ENSG00000006282,"spermatogenesis associated 20 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26125"" class=""constant"">HGNC:26125</a>]",SPATA20,Q8TB22,Protein coding
5136,ENSG00000006283,"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1394"" class=""constant"">HGNC:1394</a>]",CACNA1G,O43497,Protein coding
5137,ENSG00000108846,"ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54"" class=""constant"">HGNC:54</a>]",ABCC3,O15438,Protein coding
5138,ENSG00000154945,"ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28233"" class=""constant"">HGNC:28233</a>]",ANKRD40,Q6AI12,Protein coding
5139,ENSG00000108848,"LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24309"" class=""constant"">HGNC:24309</a>]",LUC7L3,O95232,Protein coding
5140,ENSG00000173714,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30916"" class=""constant"">HGNC:30916</a>]",WFIKKN2,Q8TEU8,Protein coding
5141,ENSG00000141232,"transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11979"" class=""constant"">HGNC:11979</a>]",TOB1,P50616,Protein coding
5142,ENSG00000229980,"TOB1 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44340"" class=""constant"">HGNC:44340</a>]",TOB1-AS1,,LncRNA
5143,ENSG00000008294,"sperm associated antigen 9 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14524"" class=""constant"">HGNC:14524</a>]",SPAG9,O60271,Protein coding
5144,ENSG00000249870,novel transcript,,,LncRNA
5145,ENSG00000239672,"NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7849"" class=""constant"">HGNC:7849</a>]",NME1,P15531,Protein coding
5146,ENSG00000243678,"NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7850"" class=""constant"">HGNC:7850</a>]",NME2,P22392,Protein coding
5147,ENSG00000011258,"mbt domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19866"" class=""constant"">HGNC:19866</a>]",MBTD1,Q05BQ5,Protein coding
5148,ENSG00000264895,"novel transcript, sense intronic to MBTD1",,,LncRNA
5149,ENSG00000011260,"UTP18 small subunit processome component [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24274"" class=""constant"">HGNC:24274</a>]",UTP18,Q9Y5J1,Protein coding
5150,ENSG00000225860,,,,
5151,ENSG00000267452,"long intergenic non-protein coding RNA 2073 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:52919"" class=""constant"">HGNC:52919</a>]",LINC02073,,LncRNA
5152,ENSG00000154975,"carbonic anhydrase 10 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1369"" class=""constant"">HGNC:1369</a>]",CA10,Q9NS85,Protein coding
5153,ENSG00000141200,"kinesin family member 2B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29443"" class=""constant"">HGNC:29443</a>]",KIF2B,Q8N4N8,Protein coding
5154,ENSG00000141198,"target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11983"" class=""constant"">HGNC:11983</a>]",TOM1L1,O75674,Protein coding
5155,ENSG00000166260,"cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2261"" class=""constant"">HGNC:2261</a>]",COX11,Q9Y6N1,Protein coding
5156,ENSG00000166263,"syntaxin binding protein 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19694"" class=""constant"">HGNC:19694</a>]",STXBP4,Q6ZWJ1,Protein coding
5157,ENSG00000261589,,,,
5158,ENSG00000108924,"HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4977"" class=""constant"">HGNC:4977</a>]",HLF,Q16534,Protein coding
5159,ENSG00000263096,"novel transcript, antisense to HLF",,,LncRNA
5160,ENSG00000108960,"monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7153"" class=""constant"">HGNC:7153</a>]",MMD,Q15546,Protein coding
5161,ENSG00000166292,"transmembrane protein 100 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25607"" class=""constant"">HGNC:25607</a>]",TMEM100,Q9NV29,Protein coding
5162,ENSG00000141179,"phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8752"" class=""constant"">HGNC:8752</a>]",PCTP,Q9UKL6,Protein coding
5163,ENSG00000153930,"ankyrin repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26766"" class=""constant"">HGNC:26766</a>]",ANKFN1,Q8N957,Protein coding
5164,ENSG00000183691,"noggin [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7866"" class=""constant"">HGNC:7866</a>]",NOG,Q13253,Protein coding
5165,ENSG00000214226,"chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27900"" class=""constant"">HGNC:27900</a>]",C17orf67,Q0P5P2,Protein coding
5166,ENSG00000153933,"diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2852"" class=""constant"">HGNC:2852</a>]",DGKE,P52429,Protein coding
5167,ENSG00000262951,,,,
5168,ENSG00000121060,"tripartite motif containing 25 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12932"" class=""constant"">HGNC:12932</a>]",TRIM25,Q14258,Protein coding
5169,ENSG00000121058,"coilin [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2184"" class=""constant"">HGNC:2184</a>]",COIL,P38432,Protein coding
5170,ENSG00000121064,"serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29507"" class=""constant"">HGNC:29507</a>]",SCPEP1,Q9HB40,Protein coding
5171,ENSG00000263120,"novel transcript, sense intronic to SCPEP1",,,LncRNA
5172,ENSG00000263004,"AKAP1 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55339"" class=""constant"">HGNC:55339</a>]",AKAP1-DT,,LncRNA
5173,ENSG00000121057,"A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:367"" class=""constant"">HGNC:367</a>]",AKAP1,Q92667,Protein coding
5174,ENSG00000263089,"novel transcript, antisense to AKAP1",,,LncRNA
5175,ENSG00000153944,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18585"" class=""constant"">HGNC:18585</a>]",MSI2,Q96DH6,Protein coding
5176,ENSG00000266100,"novel transcript, antisense to MSI2",,,LncRNA
5177,ENSG00000263499,"novel transcript, antisense to MSI2",,,LncRNA
5178,ENSG00000242889,"RNA, 7SL, cytoplasmic 449, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:46465"" class=""constant"">HGNC:46465</a>]",RN7SL449P,,Misc RNA
5179,ENSG00000265542,novel transcript,,,LncRNA
5180,ENSG00000181610,"mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14509"" class=""constant"">HGNC:14509</a>]",MRPS23,Q9Y3D9,Protein coding
5181,ENSG00000180891,"CUE domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31350"" class=""constant"">HGNC:31350</a>]",CUEDC1,Q9NWM3,Protein coding
5182,ENSG00000264914,"novel transcript, antisense to CUEDC1",,,LncRNA
5183,ENSG00000136451,"vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12949"" class=""constant"">HGNC:12949</a>]",VEZF1,Q14119,Protein coding
5184,ENSG00000264112,novel transcript,,,LncRNA
5185,ENSG00000136450,"serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10780"" class=""constant"">HGNC:10780</a>]",SRSF1,Q07955,Protein coding
5186,ENSG00000121083,,,,
5187,ENSG00000264364,"dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24596"" class=""constant"">HGNC:24596</a>]",DYNLL2,Q96FJ2,Protein coding
5188,ENSG00000121053,"eosinophil peroxidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3423"" class=""constant"">HGNC:3423</a>]",EPX,P11678,Protein coding
5189,ENSG00000011143,"MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7121"" class=""constant"">HGNC:7121</a>]",MKS1,Q9NXB0,Protein coding
5190,ENSG00000167419,"lactoperoxidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6678"" class=""constant"">HGNC:6678</a>]",LPO,P22079,Protein coding
5191,ENSG00000005381,"myeloperoxidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7218"" class=""constant"">HGNC:7218</a>]",MPO,P05164,Protein coding
5192,ENSG00000005379,"TSPO associated protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16831"" class=""constant"">HGNC:16831</a>]",TSPOAP1,O95153,Protein coding
5193,ENSG00000265148,"TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:44148"" class=""constant"">HGNC:44148</a>]",TSPOAP1-AS1,,LncRNA
5194,ENSG00000265206,"MIR142 host genes [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55980"" class=""constant"">HGNC:55980</a>]",MIR142HG,,LncRNA
5195,ENSG00000213246,"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11467"" class=""constant"">HGNC:11467</a>]",SUPT4H1,P63272,Protein coding
5196,ENSG00000108375,"ring finger protein 43 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18505"" class=""constant"">HGNC:18505</a>]",RNF43,Q68DV7,Protein coding
5197,ENSG00000176160,"heat shock transcription factor 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26862"" class=""constant"">HGNC:26862</a>]",HSF5,Q4G112,Protein coding
5198,ENSG00000108389,"myotubularin related protein 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7452"" class=""constant"">HGNC:7452</a>]",MTMR4,Q9NYA4,Protein coding
5199,ENSG00000108387,"septin 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9165"" class=""constant"">HGNC:9165</a>]",SEPTIN4,O43236,Protein coding
